Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
063.R0007.0101,CHIP RES 0.0002 J 1/2W 0805 T=0.4,1,805,2,0.0002,0.05
063.R0007.0161,CHIP RES 0.0002 J 1/2W 0805 T=0.5,1,805,2,0.002,0.05
1022-00E3100,RES 51 OHM 1/16W(0402)1%,1,402,16,51,0.01
60130B1040ZT,RESISTOR-CHIP/100K/5%/1/16W/0402/TR,1,402,16,100000,0.05
60130B10500Y,RESISTOR-CHIP/1M/5%/1/16W/0402/TR,1,402,16,1000000,0.05
60130B10600Y,RESISTOR-CHIP/10M/5%/1/16W/0402/TR,1,402,16,10000000,0.05
60130B20039Z,RES-CHIP-200K-1%-1/16W-0402-TAP,1,402,16,200000,0.01
60130B20400Y,RESISTOR-CHIP/200K/5%/1/16W/0402/TR,1,402,16,200000,0.05
60130B22009T,RESISTOR-CHIP/220/1%/1/16W/0402/TR,1,402,16,220,0.01
60130B2210ZT,RESISTOR-CHIP/220/5%/1/16W/0402/TR,1,402,16,220,0.05
60130B47019Z,RESISTOR-CHIP/4.7K/1%/1/16W/0402/TR,1,402,16,4700,0.01
60130B47200Z,RESISTOR-CHIP/4.7K/5%/1/10W/0603/TR,1,603,10,4700,0.05
60130B4720ZT,RESISTOR-CHIP/4.7K/5%/1/16W/0402/TR,1,402,16,4700,0.05
60130B4R704T,RES-CHIP-4.7-5%-1/4W-1206-TAP,1,1206,4,4.7,0.05
6013A0014701,RESISTOR-CHIP/100K/1%/1/16W/0402/TR,1,402,16,100000,0.01
6013A0015901,RESISTOR-CHIP/150K/1%/1/16W/0402/TR,1,402,16,150000,0.01
6013A0068101,RESISTOR-CHIP/8.45K/1%/1/16W/0402/TR,1,402,16,8450,0.01
6013A0076001,RESISTOR-CHIP/220K/5%/1/16W/0402/TR,1,402,16,220000,0.05
6013A008860K,RESISTOR-CHIP/71.5KOHM/1%/1/16W/0402/TAPMM,1,402,16,71500,0.01
6013A009000P,RESISTOR-CHIP/5.1M/5%/1/16W/0402/TAP,1,402,16,1000000,0.05
6013B0027202,RESISTOR-CHIP/120K/1%/1/16W/0402/TR,1,402,16,120000,0.01
6013B0110475,RESISTOR-CHIP/100K/5%/1/20W/0201/TR,1,201,20,100000,0.05
6013B0171701,RESISTOR-THER/NTC/100K/0402/1%/0.1A/0.1W/SMD/TR,1,402,0,100000,0.01
63.00000.00L,CHIP RES 0 J 1/10W 0603,1,603,10,0,0.05
63.10033.15L,CHIP RES 10 J 1/10W 0603,1,603,10,10,0.05
63.10034.1DL,CHIP RES 10 J 1/16W 0402,1,402,16,10,0.05
63.10034.L0L,CHIP RES 10 J 1/16W 0402 13 REEL,1,402,16,10,0.05
63.10133.15L,CHIP RES 100 J 1/10W 0603(ROHS,1,603,10,100,0.05
63.10134.1DL,CHIP RES 100 J 1/16W 0402,1,402,16,100,0.05
63.10134.L0L,CHIP RES 100 J 1/16W 0402 13 REEL,1,402,16,100,0.05
63.10234.1DL,CHIP RES 1K J 1/16W 0402,1,402,16,1000,0.05
63.10234.L0L,CHIP RES 1K J 1/16W 0402 13 REEL,1,402,16,1000,0.05
63.10334.1DL,CHIP RES 10K J 1/16W 0402,1,402,16,10000,0.05
63.10334.L0L,CHIP RES 10K J 1/16W 0402 13 REEL,1,402,16,10000,0.05
63.10434.1DL,CHIP RES 100K J 1/16W 0402,1,402,16,100000,0.05
63.10434.L1L,CHIP RES 100K J 1/16W 0402 13 REEL,1,402,16,100000,0.05
63.10534.1DL,CHIP RES 1M J 1/16W 0402,1,402,16,1000000,0.05
63.10534.L1L,CHIP RES 1M J 1/16W 0402 13 REEL,1,402,16,1000000,0.05
63.10634.1DL,CHIP RES 10M J 1/16W 0402,1,402,16,10000000,0.05
63.13234.1DL,CHIP RES 1.3K J 1/16W 0402,1,402,16,1300,0.05
63.15132.11L,CHIP RES 150 J 1/4W 1206,1,1206,4,150,0.05
63.15134.1DL,CHIP RES 150 J 1/16W 0402,1,402,16,150,0.05
63.15334.1DL,CHIP RES 15K J 1/16W 0402,1,402,16,15000,0.05
63.15334.L0L,CHIP RES 15K J 1/16W 0402 13 REEL,1,402,16,15000,0.05
63.15434.1DL,CHIP RES 150K J 1/16W 0402,1,402,16,150000,0.05
63.1R034.1DL,CHIP RES 1 J 1/16W 0402,1,402,16,1,0.05
63.1R534.15L,CHIP RES 1.5 J 1/10W 0603,1,603,10,1.5,0.05
63.20333.15L,CHIP RES 20K J 1/10W 0603(ROHS,1,603,10,20000,0.05
63.20334.1DL,CHIP RES 20K J 1/16W 0402,1,402,16,20000,0.05
63.20334.L0L,CHIP RES 20K J 1/16W 0402 13 REEL,1,402,16,20000,0.05
63.20434.1DL,CHIP RES 200K J 1/16W 0402,1,402,16,200000,0.05
63.22034.1DL,CHIP RES 22 J 1/16W 0402,1,402,16,22,0.05
63.22034.L0L,CHIP RES 22 J 1/16W 0402 13 REEL,1,402,16,22,0.05
63.22134.1DL,CHIP RES 220 J 1/16W 0402,1,402,16,220,0.05
63.22234.1DL,CHIP RES 2.2K J 1/16W 0402,1,402,16,2200,0.05
63.22234.L0L,CHIP RES 2.2K J 1/16W 0402 13 REEL,1,402,16,2200,0.05
63.24434.15L,CHIP RES 240K J 1/10W 0603,1,603,10,240000,0.05
63.2R231.16L,CHIP RES 2.2 J 1/8W 0805,1,805,8,2.2,0.05
63.2R232.11L,CHIP RES 2.2 J 1/4W 1206,1,1206,4,2.2,0.05
63.2R233.15L,CHIP RES 2.2 J 1/10W 0603,1,603,10,2.2,0.05
63.33232.11L,CHIP RES 3.3K J 1/4W 1206,1,1206,4,3300,0.05
63.33234.1DL,CHIP RES 3.3K J 1/16W 0402,1,402,16,3300,0.05
63.47234.1DL,CHIP RES 4.7K J 1/16W 0402,1,402,16,4700,0.05
63.47234.L0L,CHIP RES 4.7K J 1/16W 0402 13 REEL,1,402,16,4700,0.05
63.51034.1DL,CHIP RES 51 J 1/16W 0402,1,402,16,51,0.05
63.51034.L0L,CHIP RES 51 J 1/16W 0402 13 REEL,1,402,16,51,0.05
63.51134.1DL,CHIP RES 510 J 1/16W 0402,1,402,16,510,0.05
63.51334.1DL,CHIP RES 51K J 1/16W 0402,1,402,16,51000,0.05
63.R0031.16L,CHIP RES 0 J 1/8W 0805,1,805,8,0,0.05
63.R0033.L0L,CHIP RES 0 J 1/10W 0603 13 REEL,1,603,10,0,0.05
63.R0034.1DL,CHIP RES 0 J 1/16W 0402,1,402,16,0,0.05
63.R0034.L0L,CHIP RES 0 J 1/16W 0402 13 REEL,1,402,16,0,0.05
63.R003C.1IL,CHIP RES 0 J 1/20W 0201,1,201,20,0,0.05
64.10005.16L,CHIP RES 100 F 1/8W 0805(ROHS),1,805,8,100,0.01
64.10005.6DL,CHIP RES 100 F 1/16W 0402,1,402,16,100,0.01
64.10005.L1L,CHIP RES 100 F 1/16W 0402 13 REEL,1,402,16,100,0.01
64.10015.55L,CHIP RES 1K F 1/10W 0603(ROHS),1,603,10,1000,0.01
64.10015.6DL,CHIP RES 1K F 1/16W 0402,1,402,16,1000,0.01
64.10015.L3L,CHIP RES 1K F 1/16W 0402 13 REEL,1,402,16,1000,0.01
64.10025.6DL,CHIP RES 10K F 1/16W 0402,1,402,16,10000,0.01
64.10025.L0L,CHIP RES 10K F 1/16W 0402 13 REEL,1,402,16,10000,0.01
64.10035.6DL,CHIP RES 100K F 1/16W 0402,1,402,16,100000,0.01
64.10035.L1L,CHIP RES 100K F 1/16W 0402,1,402,16,100000,0.01
64.10035.L3L,CHIP RES 100K F 1/16W 0402 13 REEL,1,402,16,100000,0.01
64.10045.6DL,CHIP RES 1M F 1/16W 0402,1,402,16,1000000,0.01
64.10225.6DL,CHIP RES 10.2K F 1/16W 0402,1,402,16,10200,0.01
64.10235.6DL,CHIP RES 102K F 1/16W 0402,1,402,16,102000,0.01
64.10535.60L,CHIP RES 105K F 1/16W 0402,1,402,16,105000,0.01
64.10R05.6DL,CHIP RES 10 F 1/16W 0402,1,402,16,10,0.01
64.10R05.L1L,CHIP RES 10 F 1/16W 0402 13 REEL,1,402,16,10,0.01
64.11025.6DL,CHIP RES 11K F 1/16W 0402,1,402,16,11000,0.01
64.11305.6DL,CHIP RES 113 F 1/16W 0402,1,402,16,113,0.01
64.11315.6DL,CHIP RES 1.13K F 1/16W 0402,1,402,16,1130,0.01
64.11335.6DL,CHIP RES 113K F 1/16W 0402,1,402,16,113000,0.01
64.11825.6DL,CHIP RES 11.8K F 1/16W 0402,1,402,16,11800,0.01
64.12005.6DL,CHIP RES 120 F 1/16W 0402,1,402,16,120,0.01
64.12025.6DL,CHIP RES 12K F 1/16W 0402,1,402,16,12000,0.01
64.12035.6DL,CHIP RES 120K F 1/16W 0402,1,402,16,120000,0.01
64.12105.6DL,CHIP RES 121 F 1/16W 0402,1,402,16,121,0.01
64.12125.6DL,CHIP RES 12.1K F 1/16W 0402,1,402,16,12100,0.01
64.12425.6DL,CHIP RES 12.4K F 1/16W 0402,1,402,16,12400,0.01
64.12735.L1L,CHIP RES 127K F 1/16W 0402,1,402,16,127000,0.01
64.13025.6DL,CHIP RES 13K F 1/16W 0402,1,402,16,13000,0.01
64.13315.6DL,CHIP RES 1.33K F 1/16W 0402,1,402,16,1330,0.01
64.13325.6DL,CHIP RES 13.3K F 1/16W 0402,1,402,16,13300,0.01
64.13335.6DL,CHIP RES 133K F 1/16W 0402,1,402,16,133000,0.01
64.13725.6DL,CHIP RES 13.7K F 1/16W 0402,1,402,16,13700,0.01
64.14025.6DL,CHIP RES 14K F 1/16W 0402,1,402,16,14000,0.01
64.14325.6DL,CHIP RES 14.3K F 1/16W 0402,1,402,16,14300,0.01
64.14735.6DL,CHIP RES 147K F 1/16W 0402,1,402,16,147000,0.01
64.15005.6DL,CHIP RES 150 F 1/16W 0402,1,402,16,150,0.01
64.15005.L0L,CHIP RES 150 F 1/16W 0402 13 REEL,1,402,16,150,0.01
64.15015.6DL,CHIP RES 1.5K F 1/16W 0402,1,402,16,1500,0.01
64.15025.6DL,CHIP RES 15K F 1/16W 0402,1,402,16,15000,0.01
64.15035.6DL,CHIP RES 150K F 1/16W 0402,1,402,16,150000,0.01
64.15415.6DL,CHIP RES 1.54K F 1/16W 0402,1,402,16,1540,0.01
